,User,Date Created,Number of Likes,Source of Tweet,Tweet
69,farangezsaeedi,2022-12-19 23:34:05+00:00,1,Twitter for iPhone,Okaaay back on twitter after years because @jaademaiwand keep mentioning that I am missing out.. Now I am updated on the world event such as @GadSaad’s dinner and the very entertaining recruitment process of the new #TwitterCEO and of course the heated #goatdebate 🤓
70,SportsMaxZone,2022-12-19 23:03:06+00:00,14,Twitter Web App,"""I don't think football needs a GOAT....""🐐

#GOAT𓃵 #goatdebate https://t.co/k6qsxrm7j5"
71,TheFutnet,2022-12-19 23:00:32+00:00,2,Twitter for Android,"Is the debate over? Comment 👇
#Ronaldo
#messi
#FIFAWorldCup 
#goatdebate https://t.co/fwb4gqSi5O"
72,Oscarlantus1,2022-12-19 21:56:00+00:00,0,Twitter for Android,"Only piers Morgan and some certain fan base will dispute this. 
#goatdebate #Messi𓃵 #FIFAWorldCup https://t.co/zpLRghJVc5"
73,Mrpouya15,2022-12-19 21:22:34+00:00,1,Twitter for Android,Who is the goat 🐐🇵🇹🇦🇷 #Messi #Ronaldo #goatdebate #FIFAWorldCup
74,RautmareSwapnil,2022-12-19 21:16:20+00:00,3,Twitter for Android,"The words ""Don't be careful, be confident"" hit differently!

You are really the GOAT @TomCruise 

#GOAT𓃵 #GOAT #goatdebate"
75,drtamalehenry,2022-12-19 20:56:07+00:00,11,Twitter for Android,"I swore this to be the last..  but, well, I don't know...
#GOAT𓃵 
#goatdebate l
#goatmessi https://t.co/nFJy01Y9sb"
76,RealDanicute,2022-12-19 20:54:00+00:00,0,Twitter Web App,"RT for@TeamMessi 
❤ for @Cristiano 

Both are G.O.A.T in defer Dimensions 
#GOAT𓃵 
#goatdebate 
#TeamMessi 
#CR7𓃵"
77,anuragm_21,2022-12-19 20:41:08+00:00,1,Twitter for Android,"End of GOAT debate. Messi is finally the world champion. 🇦🇷🏆

#goatdebate #GOAT𓃵 #MESSIDAY #Messi #Messi𓃵 #WorldCupFinal #FIFAWorldCup #ArgentinaVsFrance #Argentina https://t.co/6Bmf1O1WVH"
78,Oscarlantus1,2022-12-19 20:14:49+00:00,0,Twitter for Android,"In few weeks from now the supposed supporters of #Mbabbe will be supporting Bayern Munich to beat PSG in Uefa champions league  just because they hate #Messi 😀😀😂😂 hypocrites everywhere. 
#goatdebate https://t.co/HYDtO2aFxb"
79,joe_mbaya,2022-12-19 20:14:03+00:00,2,Twitter Web App,#GOAT𓃵  #goatdebate #GOATHERD #Pele #Messi𓃵 https://t.co/7stqXvy1JU
